#"+ Scan (rt: 4.163-4.411 min, 16 scans) MDM2C F86.d  Deconvoluted (Isotope Width=1.0)"
#Point,X(Daltons),Y(Counts)
0,2000.00,8.21751200419385E-09
1,2000.50,7.77805908569462E-08
2,2001.00,1.05324841115362E-06
3,2001.50,6.9436273406609E-06
4,2002.00,9.51909987634281E-06
5,2002.50,5.77903301746119E-06
6,2003.00,6.37681750959018E-06
7,2003.50,3.25327164318878E-05
8,2004.00,0.00053390534594655
9,2004.50,0.00705896504223347
10,2005.00,0.0191886574029922
11,2005.50,0.00635566515848041
12,2006.00,0.000572580494917929
13,2006.50,8.28525880933739E-05
14,2007.00,8.96609562914819E-05
15,2007.50,0.000552337733097374
16,2008.00,0.00326909683644772
17,2008.50,0.00594491930678487
18,2009.00,0.00312295323237777
19,2009.50,0.000690682558342814
20,2010.00,0.000127354898722842
21,2010.50,5.01310387335252E-05
22,2011.00,3.70203924831003E-05
23,2011.50,1.23715881272801E-05
24,2012.00,1.19280855415127E-06
25,2012.50,2.00319377086089E-07
26,2013.00,4.10094003200356E-07
27,2013.50,3.02618127534515E-06
28,2014.00,7.72854764363728E-06
29,2014.50,2.25508574658306E-06
30,2015.00,1.65313011279977E-07
31,2015.50,8.13972960145293E-08
32,2016.00,1.45850538046943E-06
33,2016.50,5.12085862283129E-05
34,2017.00,0.000303403852740303
35,2017.50,0.000119495882245246
36,2018.00,3.65359392162645E-06
37,2018.50,1.40199233555904E-07
38,2019.00,2.40303791088081E-07
39,2019.50,3.84963641408831E-06
40,2020.00,4.90524471388198E-05
41,2020.50,0.000508489843923599
42,2021.00,0.00303907133638859
43,2021.50,0.00216950546018779
44,2022.00,0.000156553709530272
45,2022.50,1.67049493029481E-05
46,2023.00,5.6768021750031E-05
47,2023.50,0.00224831164814532
48,2024.00,0.0415135845541954
49,2024.50,0.0607374608516693
50,2025.00,0.0101098986342549
51,2025.50,0.0011925307335332
52,2026.00,0.000600149971432984
53,2026.50,0.0021340218372643
54,2027.00,0.0269311349838972
55,2027.50,0.331793755292892
56,2028.00,1.0791482925415
57,2028.50,0.69468492269516
58,2029.00,0.227847322821617
59,2029.50,0.132664889097214
60,2030.00,0.141918390989304
61,2030.50,0.186799213290215
62,2031.00,0.314106851816177
63,2031.50,0.263855874538422
64,2032.00,0.0636987835168839
65,2032.50,0.0334101244807243
66,2033.00,0.165819674730301
67,2033.50,0.802751421928406
68,2034.00,0.700866937637329
69,2034.50,0.164416164159775
70,2035.00,0.0286814291030169
71,2035.50,0.0186826474964619
72,2036.00,0.118889190256596
73,2036.50,0.922946929931641
74,2037.00,0.900426506996155
75,2037.50,0.075332336127758
76,2038.00,0.00293330615386367
77,2038.50,0.00113285158295184
78,2039.00,0.00554329669103026
79,2039.50,0.0151017280295491
80,2040.00,0.00569600844755769
81,2040.50,0.00152442487888038
82,2041.00,0.00286616035737097
83,2041.50,0.0247837826609612
84,2042.00,0.120980829000473
85,2042.50,0.193137526512146
86,2043.00,0.240204066038132
87,2043.50,0.405121386051178
88,2044.00,0.580157816410065
89,2044.50,0.309254586696625
90,2045.00,0.0885214656591415
91,2045.50,0.041385643184185
92,2046.00,0.0626590326428413
93,2046.50,0.25282546877861
94,2047.00,0.536522924900055
95,2047.50,0.29724982380867
96,2048.00,0.0484828650951385
97,2048.50,0.00450905552133918
98,2049.00,0.00287944497540593
99,2049.50,0.0290154293179512
100,2050.00,0.285287648439407
101,2050.50,0.824066162109375
102,2051.00,1.23701953887939
103,2051.50,1.0316971540451
104,2052.00,0.645592153072357
105,2052.50,0.81606262922287
106,2053.00,1.35779476165771
107,2053.50,1.58602714538574
108,2054.00,1.54718673229218
109,2054.50,1.45976281166077
110,2055.00,1.29593896865845
111,2055.50,1.11033058166504
112,2056.00,1.15375077724457
113,2056.50,1.26984667778015
114,2057.00,1.59431898593903
115,2057.50,2.66149163246155
116,2058.00,4.74313735961914
117,2058.50,5.8140983581543
118,2059.00,4.30440950393677
119,2059.50,3.02242398262024
120,2060.00,3.10788536071777
121,2060.50,3.45909261703491
122,2061.00,2.83822846412659
123,2061.50,2.03920698165894
124,2062.00,1.57444250583649
125,2062.50,1.29225564002991
126,2063.00,1.05185973644257
127,2063.50,0.842582881450653
128,2064.00,1.18592321872711
129,2064.50,2.52666020393372
130,2065.00,2.71848583221436
131,2065.50,1.54129076004028
132,2066.00,0.893582344055176
133,2066.50,0.565849423408508
134,2067.00,0.518475592136383
135,2067.50,0.787260115146637
136,2068.00,1.03468346595764
137,2068.50,0.851953089237213
138,2069.00,0.602712094783783
139,2069.50,0.827731847763062
140,2070.00,1.82452917098999
141,2070.50,2.49400520324707
142,2071.00,1.98516619205475
143,2071.50,1.51675128936768
144,2072.00,1.63144969940186
145,2072.50,1.73920559883118
146,2073.00,1.61966955661774
147,2073.50,1.65337514877319
148,2074.00,2.13892602920532
149,2074.50,2.33083057403564
150,2075.00,1.81711387634277
151,2075.50,1.83877718448639
152,2076.00,1.70809316635132
153,2076.50,1.52613568305969
154,2077.00,1.55961406230927
155,2077.50,1.52449882030487
156,2078.00,1.46770215034485
157,2078.50,1.67275929450989
158,2079.00,2.16233897209167
159,2079.50,2.54993534088135
160,2080.00,2.52881836891174
161,2080.50,2.30867147445679
162,2081.00,2.06999635696411
163,2081.50,1.89532494544983
164,2082.00,1.7501026391983
165,2082.50,1.68346810340881
166,2083.00,1.55458474159241
167,2083.50,1.0534256696701
168,2084.00,0.68191534280777
169,2084.50,0.581477463245392
170,2085.00,0.592686116695404
171,2085.50,0.846594929695129
172,2086.00,1.65535569190979
173,2086.50,3.10726356506348
174,2087.00,5.05023908615112
175,2087.50,6.43592500686646
176,2088.00,7.03264570236206
177,2088.50,8.09535789489746
178,2089.00,7.37984275817871
179,2089.50,4.64923095703125
180,2090.00,3.11666226387024
181,2090.50,2.38811922073364
182,2091.00,2.15897846221924
183,2091.50,2.36089277267456
184,2092.00,1.99705719947815
185,2092.50,1.39323890209198
186,2093.00,1.09066414833069
187,2093.50,0.771975159645081
188,2094.00,0.43594154715538
189,2094.50,0.268047004938126
190,2095.00,0.235889732837677
191,2095.50,0.278907060623169
192,2096.00,0.331366896629333
193,2096.50,0.371913939714432
194,2097.00,0.357412606477737
195,2097.50,0.28945603966713
196,2098.00,0.26248437166214
197,2098.50,0.29660502076149
198,2099.00,0.337833076715469
199,2099.50,0.402707725763321
200,2100.00,0.455751180648804
201,2100.50,0.399311125278473
202,2101.00,0.374604821205139
203,2101.50,0.501354336738586
204,2102.00,0.498506426811218
205,2102.50,0.402121216058731
206,2103.00,0.361377239227295
207,2103.50,0.310451239347458
208,2104.00,0.351585984230042
209,2104.50,0.801389336585999
210,2105.00,1.54473078250885
211,2105.50,1.16479885578156
212,2106.00,0.502724409103394
213,2106.50,0.208656027913094
214,2107.00,0.124723918735981
215,2107.50,0.138002187013626
216,2108.00,0.204731553792953
217,2108.50,0.294881373643875
218,2109.00,0.348718643188477
219,2109.50,0.303568840026855
220,2110.00,0.261644780635834
221,2110.50,0.309123486280441
222,2111.00,0.421519190073013
223,2111.50,0.419183164834976
224,2112.00,0.270852565765381
225,2112.50,0.242055639624596
226,2113.00,0.400006949901581
227,2113.50,0.605264842510223
228,2114.00,0.356253147125244
229,2114.50,0.0610308051109314
230,2115.00,0.00893798563629389
231,2115.50,0.00565001741051674
232,2116.00,0.0139024192467332
233,2116.50,0.0278402026742697
234,2117.00,0.0141808949410915
235,2117.50,0.00169185071717948
236,2118.00,0.000207320175832137
237,2118.50,0.000172079191543162
238,2119.00,0.000489674741402268
239,2119.50,0.00061524217016995
240,2120.00,0.000217574342968874
241,2120.50,0.000169081424246542
242,2121.00,0.00165210175327957
243,2121.50,0.0293959658592939
244,2122.00,0.125614911317825
245,2122.50,0.0713671520352364
246,2123.00,0.007664630189538
247,2123.50,0.00105485925450921
248,2124.00,0.00183523201849312
249,2124.50,0.017358586192131
250,2125.00,0.0544289574027061
251,2125.50,0.0167804434895515
252,2126.00,0.000827728305011988
253,2126.50,5.49368742213119E-05
254,2127.00,7.38599337637424E-05
255,2127.50,0.00124122994020581
256,2128.00,0.01079479791224
257,2128.50,0.00731213157996535
258,2129.00,0.000545440532732755
259,2129.50,4.23216370109003E-05
260,2130.00,4.33759560110047E-05
261,2130.50,0.000277854618616402
262,2131.00,0.000695006281603128
263,2131.50,0.000160139359650202
264,2132.00,8.06500429462176E-06
265,2132.50,1.72410830145964E-06
266,2133.00,6.09290327702183E-06
267,2133.50,5.15422252647113E-05
268,2134.00,0.000161124306032434
269,2134.50,9.89009422482923E-05
270,2135.00,1.84886139322771E-05
271,2135.50,3.29748854710488E-06
272,2136.00,1.45564501963236E-06
273,2136.50,2.27401574193209E-06
274,2137.00,8.08810273156269E-06
275,2137.50,2.19453522731783E-05
276,2138.00,2.87729071715148E-05
277,2138.50,1.9903689462808E-05
278,2139.00,1.11653916974319E-05
279,2139.50,9.87389830697794E-06
280,2140.00,8.79432536748936E-06
281,2140.50,4.35552146882401E-06
282,2141.00,1.50143080190901E-06
283,2141.50,3.75843939082188E-07
284,2142.00,1.78878138967775E-07
285,2142.50,4.34327489529096E-07
286,2143.00,1.14169802145625E-06
287,2143.50,1.0573188546914E-06
288,2144.00,1.07161929463473E-06
289,2144.50,2.49592244472296E-06
290,2145.00,5.3590028983308E-06
291,2145.50,4.02055184167693E-06
292,2146.00,6.2084507135296E-07
293,2146.50,7.294865156382E-08
294,2147.00,1.11624082421713E-07
295,2147.50,1.2941468412464E-06
296,2148.00,8.15041494206525E-06
297,2148.50,8.77996444614837E-06
298,2149.00,1.54840938648704E-06
299,2149.50,3.52677915316235E-07
300,2150.00,1.03201398360397E-06
301,2150.50,2.8696797471639E-06
302,2151.00,1.26215627460624E-06
303,2151.50,5.47076183465833E-07
304,2152.00,4.76079833333642E-07
305,2152.50,3.50937824578068E-07
306,2153.00,1.90851224601829E-07
307,2153.50,8.19852843392255E-08
308,2154.00,6.34000514310173E-08
309,2154.50,1.61329936076982E-07
310,2155.00,3.26000105133062E-07
311,2155.50,1.67557004715491E-07
312,2156.00,4.62757689945192E-08
313,2156.50,2.32386412335472E-08
