#"+ESI TIC Scan Frag=175.0V MDM2C F86.d "
#Point,X(Minutes),Y(Counts)
0,2.064,1999580
1,2.080,6711959
2,2.097,6628231
3,2.113,6849869
4,2.130,6882858
5,2.146,6936935
6,2.163,6867102
7,2.180,6881370
8,2.196,6862705
9,2.213,6732688
10,2.229,6664520
11,2.246,6678135
12,2.262,6554268
13,2.279,6623140
14,2.295,6698136
15,2.312,6650199
16,2.328,6647094
17,2.345,6694518
18,2.361,6695051
19,2.378,6676897
20,2.394,6681471
21,2.411,6608918
22,2.428,6711074
23,2.444,6703955
24,2.461,6691952
25,2.477,6736675
26,2.494,6799302
27,2.510,6877402
28,2.527,6835977
29,2.543,6977629
30,2.560,6910366
31,2.576,6943895
32,2.593,6976574
33,2.609,7008119
34,2.626,7116150
35,2.642,7096002
36,2.659,7124435
37,2.675,7158631
38,2.692,7246097
39,2.709,7430658
40,2.725,7317835
41,2.742,7415872
42,2.758,7572652
43,2.775,7372539
44,2.791,7487974
45,2.808,7614598
46,2.824,7793214
47,2.841,7625712
48,2.857,7615686
49,2.874,7760919
50,2.890,7758009
51,2.907,7874817
52,2.923,7841671
53,2.940,7892186
54,2.957,7825313
55,2.973,7835052
56,2.990,7903765
57,3.006,8031416
58,3.023,8235056
59,3.039,8312149
60,3.056,8322926
61,3.072,8125480
62,3.089,8291078
63,3.105,8225268
64,3.122,8135952
65,3.138,8288746
66,3.155,8583075
67,3.171,8613401
68,3.188,8607250
69,3.204,8597559
70,3.221,8435286
71,3.238,8386380
72,3.254,8512086
73,3.271,8701157
74,3.287,8809685
75,3.304,8931138
76,3.320,8767394
77,3.337,8847092
78,3.353,8831690
79,3.370,9066621
80,3.386,8991648
81,3.403,8990332
82,3.419,8811379
83,3.436,9061051
84,3.452,9136714
85,3.469,9222306
86,3.486,9131986
87,3.502,9187865
88,3.519,9291681
89,3.535,9325813
90,3.552,9339553
91,3.568,9421286
92,3.585,9389946
93,3.601,9426998
94,3.618,9635363
95,3.634,9615598
96,3.651,9578009
97,3.667,9759735
98,3.684,9799386
99,3.700,9769085
100,3.717,9861848
101,3.734,9755854
102,3.750,9984978
103,3.767,10165588
104,3.783,10537210
105,3.800,10434260
106,3.816,10425066
107,3.833,10304535
108,3.849,10162149
109,3.866,10229836
110,3.882,10476910
111,3.899,10725054
112,3.915,10700062
113,3.932,10822364
114,3.948,10907386
115,3.965,10790273
116,3.981,10917000
117,3.998,11071772
118,4.015,11422359
119,4.031,11733292
120,4.048,12570636
121,4.064,12722236
122,4.081,13170179
123,4.097,13638042
124,4.114,14981573
125,4.130,17376760
126,4.147,25162496
127,4.163,46156176
128,4.180,99603832
129,4.196,214839056
130,4.213,423332288
131,4.229,691531648
132,4.246,896693632
133,4.263,985891904
134,4.279,1003608192
135,4.296,1002176768
136,4.312,999582976
137,4.329,970310528
138,4.345,892166784
139,4.362,788427328
140,4.378,679620416
141,4.395,604116736
142,4.411,561632832
143,4.428,533566880
144,4.444,496446816
145,4.461,434588064
146,4.477,354242464
147,4.494,289841280
148,4.510,250686512
149,4.527,225195840
150,4.544,216712640
151,4.560,200124880
152,4.577,181794640
153,4.593,166445712
154,4.610,150302832
155,4.626,133880096
156,4.643,118753256
157,4.659,104846824
158,4.676,96380080
159,4.692,89868992
160,4.709,85536088
161,4.725,80936312
162,4.742,79775080
163,4.758,78873248
164,4.775,81737856
165,4.792,86076144
166,4.808,89967704
167,4.825,91455088
168,4.841,83029304
169,4.858,77062304
170,4.874,69343312
171,4.891,64599408
172,4.907,60896496
173,4.924,59812536
174,4.940,59634808
175,4.957,62064668
176,4.973,69128376
177,4.990,67985328
178,5.006,61613316
179,5.023,54472768
180,5.040,46841732
181,5.056,41320760
182,5.073,37684576
183,5.089,35793184
184,5.106,34700332
185,5.122,33297672
186,5.139,33376660
187,5.155,33980968
188,5.172,33097672
189,5.188,31398206
190,5.205,30440506
191,5.221,29856614
192,5.238,29035842
193,5.254,28830424
194,5.271,28705316
195,5.287,28314944
196,5.304,27966872
197,5.321,26831080
198,5.337,26052262
199,5.354,24826406
200,5.370,23832616
201,5.387,23790456
202,5.403,23267254
203,5.420,22890638
204,5.436,22540200
205,5.453,22469288
206,5.469,21688564
207,5.486,21202406
208,5.502,20920060
209,5.519,20474554
210,5.535,20686794
211,5.552,20704336
212,5.569,20998606
213,5.585,21094540
214,5.602,20976388
215,5.618,20557578
216,5.635,20252078
217,5.651,20121100
218,5.668,19119084
219,5.684,19158128
220,5.701,19696238
221,5.717,19773584
222,5.734,20701596
223,5.750,21603092
224,5.767,22219572
225,5.783,23612552
226,5.800,25302590
227,5.816,25311656
228,5.833,23751562
229,5.850,21490572
230,5.866,20159740
231,5.883,19240486
232,5.899,20179864
233,5.916,22062120
234,5.932,22039636
235,5.949,21200022
236,5.965,19842280
237,5.982,19176184
238,5.998,18166764
239,6.015,17441294
240,6.031,17028200
241,6.048,16915576
242,6.064,17053276
243,6.081,17787876
244,6.098,18382932
245,6.114,18417624
246,6.131,18812864
247,6.147,18661804
248,6.164,18848810
249,6.180,18320544
250,6.197,17597308
251,6.213,17069456
252,6.230,16457330
253,6.246,16166844
254,6.263,16128310
255,6.279,15796179
256,6.296,15163502
257,6.312,15633282
258,6.329,15542861
259,6.345,15084619
260,6.362,15288359
261,6.379,14830715
262,6.395,14866506
263,6.412,15019765
264,6.428,15144662
265,6.445,14888157
266,6.461,15046346
267,6.478,14811314
268,6.494,15067402
269,6.511,14999448
270,6.527,15001012
271,6.544,15366947
272,6.560,15266778
273,6.577,15163931
274,6.593,15688162
275,6.610,14954222
276,6.627,14460842
277,6.643,14467309
278,6.660,14734490
279,6.676,14953874
280,6.693,15149634
281,6.709,15071504
282,6.726,15276121
283,6.742,15211047
284,6.759,15542655
285,6.775,15356850
286,6.792,15198701
287,6.808,15101461
288,6.825,15324611
289,6.841,15359844
290,6.858,15100894
291,6.875,15685202
292,6.891,15159647
293,6.908,15535857
294,6.924,15161862
295,6.941,15602061
296,6.957,15331340
297,6.974,15476992
298,6.990,15888222
299,7.007,15949142
300,7.023,15660598
301,7.056,4411024
302,7.073,5923117
303,7.089,8269287
304,7.106,2038961
305,7.122,183317
306,7.139,172559
307,7.156,176691
308,7.172,186162
309,7.189,187459
310,7.205,187026
311,7.222,186673
312,7.238,205332
313,7.255,210956
314,7.271,207967
315,7.288,201264
316,7.304,210494
317,7.321,214571
318,7.337,209755
319,7.354,202544
320,7.370,181114
321,7.387,201505
322,7.404,211885
323,7.420,209401
324,7.437,213553
325,7.453,213306
326,7.470,211729
327,7.486,223868
328,7.503,197965
329,7.519,204761
330,7.536,207886
331,7.552,215466
332,7.569,209880
333,7.585,216309
334,7.602,210129
335,7.618,202818
336,7.635,207643
337,7.651,168119
338,7.668,168601
339,7.685,172939
340,7.701,174734
341,7.718,170584
342,7.734,173021
343,7.751,171001
344,7.767,174025
345,7.784,181079
346,7.800,175908
347,7.817,181279
348,7.833,187306
349,7.850,221395
350,7.866,212406
351,7.883,185639
352,7.899,176733
353,7.916,199283
354,7.933,179018
355,7.949,179949
356,7.966,166303
357,7.982,169260
358,7.999,203594
359,8.015,197863
360,8.032,215847
361,8.048,223031
362,8.065,208063
363,8.081,212598
364,8.098,213112
365,8.114,195509
366,8.131,196483
367,8.147,214966
368,8.164,212744
369,8.181,226888
370,8.197,234794
371,8.214,243743
372,8.230,243436
373,8.247,253880
374,8.263,254553
375,8.280,246032
376,8.296,240680
377,8.313,243505
378,8.329,245003
379,8.346,254653
380,8.362,251513
381,8.379,251079
382,8.395,248165
383,8.412,249986
384,8.428,255444
385,8.445,245768
386,8.462,251148
387,8.478,274665
388,8.495,251915
389,8.511,250891
390,8.528,250699
391,8.544,239384
392,8.561,213062
393,8.577,201555
394,8.594,222896
395,8.610,210782
396,8.627,206141
397,8.643,207095
398,8.660,202769
399,8.676,200023
400,8.693,204391
401,8.710,199047
402,8.726,208895
403,8.743,211767
404,8.759,202743
405,8.776,197165
406,8.792,190158
407,8.809,187482
408,8.825,200769
409,8.842,203832
410,8.858,196674
411,8.875,185805
412,8.891,172971
413,8.908,172392
414,8.925,177471
415,8.941,183217
416,8.958,190718
417,8.974,198087
418,8.991,192827
