#"+ Scan (rt: 5.965-6.632 min, 25 scans) MDM2C Crude More.d  Subtract Deconvoluted (Isotope Width=1.0)"
#Point,X(Daltons),Y(Counts)
0,2000.00,6.86214605138957E-08
1,2000.50,2.34370219232005E-07
2,2001.00,8.9994864538312E-07
3,2001.50,1.8965895378642E-06
4,2002.00,1.81817722477717E-06
5,2002.50,2.14502824746887E-06
6,2003.00,8.00668840383878E-06
7,2003.50,0.000154688299517147
8,2004.00,0.00170605815947056
9,2004.50,0.00185492902528495
10,2005.00,0.000648481887765229
11,2005.50,0.000148008781252429
12,2006.00,2.4101223971229E-05
13,2006.50,4.44419401901541E-06
14,2007.00,1.56544774654321E-06
15,2007.50,3.87238014809554E-06
16,2008.00,2.64044174400624E-05
17,2008.50,9.51142792473547E-05
18,2009.00,0.00010448093235027
19,2009.50,4.84655502077658E-05
20,2010.00,8.9855573605746E-05
21,2010.50,0.000437801121734083
22,2011.00,0.000392053392715752
23,2011.50,9.37780714593828E-05
24,2012.00,1.74607685039518E-05
25,2012.50,3.19207492793794E-06
26,2013.00,1.7084112187149E-06
27,2013.50,2.93370635517931E-06
28,2014.00,3.90633022107068E-06
29,2014.50,1.87271621143736E-06
30,2015.00,1.44643945532152E-06
31,2015.50,4.16747298004339E-06
32,2016.00,5.27516840520548E-06
33,2016.50,3.25393398270535E-06
34,2017.00,7.79835045250366E-06
35,2017.50,2.15544587263139E-05
36,2018.00,2.35848801821703E-05
37,2018.50,1.59680275828578E-05
38,2019.00,5.39027632839861E-06
39,2019.50,3.27643942910072E-06
40,2020.00,9.92241439234931E-06
41,2020.50,2.82902365142945E-05
42,2021.00,3.17729027301539E-05
43,2021.50,9.02217198017752E-06
44,2022.00,9.53452342855599E-07
45,2022.50,7.53502490624669E-07
46,2023.00,7.91090405982686E-06
47,2023.50,6.25437896815129E-05
48,2024.00,8.41386281535961E-05
49,2024.50,2.62834764725994E-05
50,2025.00,5.25298992215539E-06
51,2025.50,3.65147229786089E-06
52,2026.00,5.67439346923493E-05
53,2026.50,0.000716731650754809
54,2027.00,0.000799430767074227
55,2027.50,0.00194891879800707
56,2028.00,0.0042493105866015
57,2028.50,0.000364987179636955
58,2029.00,2.98513768939301E-05
59,2029.50,3.82406469725538E-05
60,2030.00,0.000111966066469904
61,2030.50,0.000306008325424045
62,2031.00,0.000455067696748301
63,2031.50,0.000625166925601661
64,2032.00,0.000454945373348892
65,2032.50,8.43357338453643E-05
66,2033.00,4.15009853895754E-05
67,2033.50,0.000190447390195914
68,2034.00,0.000999113777652383
69,2034.50,0.0011030079331249
70,2035.00,0.000254613114520907
71,2035.50,7.85186421126127E-05
72,2036.00,0.000206698488909751
73,2036.50,0.00334994541481137
74,2037.00,0.0415506511926651
75,2037.50,0.068835124373436
76,2038.00,0.022677032276988
77,2038.50,0.0108722234144807
78,2039.00,0.0121773686259985
79,2039.50,0.00514963921159506
80,2040.00,0.000622375111561269
81,2040.50,0.000277778482995927
82,2041.00,0.00103181111626327
83,2041.50,0.00362958363257349
84,2042.00,0.00307773286476731
85,2042.50,0.00149235164280981
86,2043.00,0.00301932985894382
87,2043.50,0.0140196578577161
88,2044.00,0.0350572839379311
89,2044.50,0.0316538624465466
90,2045.00,0.0135845774784684
91,2045.50,0.0096658393740654
92,2046.00,0.0143120950087905
93,2046.50,0.0199863854795694
94,2047.00,0.0178868509829044
95,2047.50,0.0097710071131587
96,2048.00,0.0107031175866723
97,2048.50,0.0288169682025909
98,2049.00,0.0385115742683411
99,2049.50,0.0174843296408653
100,2050.00,0.011773819103837
101,2050.50,0.0122487749904394
102,2051.00,0.00327163306064904
103,2051.50,0.000452667562058195
104,2052.00,0.000522482965607196
105,2052.50,0.0101360147818923
106,2053.00,0.374435037374496
107,2053.50,2.83797144889832
108,2054.00,3.66658067703247
109,2054.50,2.28924322128296
