#"+ESI TIC Scan Frag=175.0V MDM2C Crude More.d "
#Point,X(Minutes),Y(Counts)
0,4.076,10665553
1,4.104,14574593
2,4.131,14945789
3,4.159,15182617
4,4.187,15302280
5,4.215,15375266
6,4.242,15370386
7,4.270,15481508
8,4.298,15850747
9,4.326,15821480
10,4.354,15900990
11,4.381,15908686
12,4.409,15817324
13,4.437,15851864
14,4.465,16054750
15,4.492,16223105
16,4.520,16787926
17,4.548,16550412
18,4.576,16587374
19,4.604,16378497
20,4.631,16675347
21,4.659,17006148
22,4.687,17554560
23,4.715,17527708
24,4.743,17532762
25,4.770,17369026
26,4.798,17428932
27,4.826,17825118
28,4.854,17483528
29,4.882,17859134
30,4.909,17492880
31,4.937,18119728
32,4.965,18130888
33,4.993,18040992
34,5.020,18575488
35,5.048,18584804
36,5.076,18980060
37,5.104,19044186
38,5.132,19888044
39,5.159,20131356
40,5.187,20042136
41,5.215,20752828
42,5.243,21057788
43,5.271,21225294
44,5.298,21965656
45,5.326,22619192
46,5.354,23021964
47,5.382,23376536
48,5.409,23818468
49,5.437,24928264
50,5.465,25909952
51,5.493,27307724
52,5.521,26377868
53,5.548,25093594
54,5.576,24682874
55,5.604,24677688
56,5.632,27278054
57,5.659,32274264
58,5.687,31320952
59,5.715,27645908
60,5.743,26555656
61,5.771,27237964
62,5.798,27698916
63,5.826,27024922
64,5.854,27509788
65,5.882,28354780
66,5.910,28944092
67,5.937,30744296
68,5.965,32066912
69,5.993,33168204
70,6.021,33882024
71,6.048,35445356
72,6.076,36851720
73,6.104,39176584
74,6.132,41583948
75,6.160,45027992
76,6.187,48233784
77,6.215,51483184
78,6.243,56609332
79,6.271,62952040
80,6.299,70670992
81,6.326,78392856
82,6.354,85819368
83,6.382,94803800
84,6.410,99227664
85,6.438,98645840
86,6.465,95767264
87,6.493,91996648
88,6.521,89425664
89,6.549,86666112
90,6.576,83509792
91,6.604,80207616
92,6.632,76597072
93,6.660,77033216
94,6.688,80108432
95,6.715,79149288
96,6.743,74119440
97,6.771,70305232
98,6.799,65230760
99,6.826,61810184
100,6.854,57064948
101,6.882,54781200
102,6.910,52214792
103,6.938,49055552
104,6.965,46965248
105,6.993,45951888
106,7.021,44103224
107,7.049,42896776
108,7.077,42235596
109,7.104,41084608
110,7.132,39921880
111,7.160,39687200
112,7.188,39354592
113,7.215,39293788
114,7.243,38049808
115,7.271,37623048
116,7.299,37357732
117,7.327,36594368
118,7.354,35884536
